Periodo,Dolar
2007.08,1.9652
2007.09,1.8988
2007.10,1.8002
2007.11,1.7691
2007.12,1.7852
2008.01,1.7735
2008.02,1.7269
2008.03,1.7068
2008.04,1.6881
2008.05,1.6597
2008.06,1.6181
2008.07,1.5906
2008.08,1.6115
2008.09,1.7988
2008.10,2.1721
2008.11,2.2655
2008.12,2.3936
2009.01,2.3066
2009.02,2.3119
2009.03,2313
2009.04,2.2051
2009.05,2.0601
2009.06,1.9568
2009.07,1932
2009.08,1.8444
2009.09,1819
2009.10,1.7376
2009.11,1.7252
2009.12,1.7495
2010.01,1779
2010.02,1.8394
2010.03,1785
2010.04,1.7558
2010.05,1.8124
2010.06,1.8054
2010.07,1.7688
2010.08,1.7588
2010.09,1.7179
2010.10,1.6852
2010.11,1.71253
2010.12,1.692654545
2011.01,1.674114286
2011.02,1.6672
2011.03,1.6583
2011.04,1.5856
2011.05,1.6127
2011.06,1.5862
2011.07,1.5631
2011.08,1.5962
2011.09,1749
2011.10,1.7719
2011.11,1.789725
2011.12,1.8362
2012.01,1.789013636
2012.02,1.717757895
2012.03,1.7947
2012.04,1.8542
2012.05,1.985386364
2012.06,2.04857
2012.07,2.02815
2012.08,2.028865217
2012.09,2.0275
2012.10,2.029281818
2012.11,2.067195
2012.12,2.07724
2013.01,2.030477273
2013.02,1.972677778
2013.03,1.98227
2013.04,2.001631818
2013.05,2.034266667
2013.06,2.172375
2013.07,2.25156087
2013.08,2.341595455
2013.09,2.2699
2013.10,2.188056522
2013.11,2.29471
2013.12,2.344861905
2014.01,2.381604545
2014.02,2.38309
2014.03,2.325494737
2014.04,2.231725
2014.05,2.220280952
2014.06,2.23486
2014.07,2.224021739
2014.08,2.26742381
2014.09,2.332254545
2014.10,2.447643478
2014.11,2.54823
2014.12,2.638736364
2015.01,2.633619048
2015.02,2.815838889
2015.03,3.138863636
2015.04,3.042595
2015.05,3.061075
2015.06,3.11112381
2015.07,3.222508696
2015.08,3.513695238
2015.09,3.905809524
2015.10,3.879504762
2015.11,3.7758
2015.12,3.870495455
2016.01,4.051715
2016.02,3.973115789
2016.03,3.703309091
2016.04,3.56524
2016.05,3.538685714
2016.06,3.423877273
2016.07,3.274710526
2016.08,3.209056522
2016.09,3.255771429
2016.10,3.1852
2016.11,3.3414
2016.12,3.35166818181818
2017.01,3.19598636363636
2017.02,3.10358888888889
2017.03,3.12733043478261
2017.04,3.13557222222222
2017.05,3.20870454545455
2017.06,3.2948
2017.07,3.2055
2017.08,3.1503
