Periodo,Desemprego
2007.08,10.4
2007.09,10.5
2007.10,10
2007.11,10
2007.12,9.3
2008.01,9.3
2008.02,9.1
2008.03,9.6
2008.04,9.8
2008.05,9.8
2008.06,9.7
2008.07,9.6
2008.08,9.4
2008.09,9.3
2008.10,8.5
2008.11,8.6
2008.12,8.3
2009.01,9.2
2009.02,9.8
2009.03,10.8
2009.04,10.9
2009.05,10.8
2009.06,10.3
2009.07,10.5
2009.08,10.1
2009.09,10.1
2009.10,9.9
2009.11,9.4
2009.12,8.5
2010.01,8
2010.02,8.5
2010.03,9.6
2010.04,9.8
2010.05,9.7
2010.06,9.5
2010.07,9.4
2010.08,9.3
2010.09,8.7
2010.10,8.4
2010.11,8.1
2010.12,7.4
2011.01,8
2011.02,8.1
2011.03,9
2011.04,8.8
2011.05,8.5
2011.06,8.7
2011.07,8.8
2011.08,9
2011.09,8.5
2011.10,7.9
2011.11,7.5
2011.12,6.9
2012.01,7.6
2012.02,8.4
2012.03,9.1
2012.04,9.1
2012.05,8.8
2012.06,9
2012.07,9.1
2012.08,9.4
2012.09,9.1
2012.10,8.5
2012.11,7.9
2012.12,7.6
2013.01,7.8
2013.02,8.2
2013.03,8.8
2013.04,9.1
2013.05,9
2013.06,9.1
2013.07,9
2013.08,8.6
2013.09,8.1
2013.10,7.7
2013.11,7.5
2013.12,7.5
2014.01,7.8
2014.02,8.7
2014.03,9.4
2014.04,9.6
2014.05,9.5
2014.06,9.4
2014.07,9.4
2014.08,9.2
2014.09,8.7
2014.10,8.1
2014.11,7.9
2014.12,8
2015.01,7.9
2015.02,8.7
2015.03,9.4
2015.04,10.2
2015.05,10.7
2015.06,11.1
2015.07,11.4
2015.08,11.5
2015.09,11.8
2015.10,11.9
2015.11,11.7
2015.12,11.5
2016.01,11.8
2016.02,12.3
2016.03,13.4
2016.04,14.2
2016.05,15
2016.06,14.7
2016.07,14.2
2016.08,13.9
2016.09,14.4
2016.10,14.3
2016.11,14
2016.12,13.5
2017.01,14.1
2017.02,14.8
2017.03,15.2
2017.04,15.5
2017.05,15.9
2017.06,15.6
2017.07,15.1
2017.08,14.5
