Periodo,Desemprego
1984.12,7.3
1985.01,7.2
1985.02,7.9
1985.03,8.9
1985.04,9.2
1985.05,9.2
1985.06,8.7
1985.07,8.2
1985.08,7.8
1985.09,7.3
1985.10,7
1985.11,6.4
1985.12,5.8
1986.01,5.8
1986.02,6.3
1986.03,7.3
1986.04,7.5
1986.05,7.2
1986.06,6.6
1986.07,6
1986.08,6
1986.09,5.7
1986.10,5.5
1986.11,5
1986.12,4.4
1987.01,4.4
1987.02,4.8
1987.03,5.7
1987.04,6.2
1987.05,6.7
1987.06,6.6
1987.07,6.6
1987.08,6.6
1987.09,6.8
1987.10,6.7
1987.11,6.2
1987.12,5.8
1988.01,6.2
1988.02,6.9
1988.03,7.7
1988.04,7.6
1988.05,7.8
1988.06,7.4
1988.07,7.4
1988.08,6.9
1988.09,6.8
1988.10,6.8
1988.11,6.6
1988.12,6.2
1989.01,6.5
1989.02,7.2
1989.03,8
1989.04,8
1989.05,7.6
1989.06,7.2
1989.07,6.9
1989.08,6.2
1989.09,5.8
1989.10,5.4
1989.11,5.3
1989.12,5
1990.01,4.9
1990.02,5.9
1990.03,7
1990.04,8
1990.05,8.4
1990.06,8.5
1990.07,8.3
1990.08,7.8
1990.09,7.4
1990.10,7
1990.11,6.8
1990.12,6.5
1991.01,6.5
1991.02,7.4
1991.03,8.4
1991.04,9.2
1991.05,9.2
1991.06,9
1991.07,8.8
1991.08,8.2
1991.09,7.6
1991.10,7.2
1991.11,6.8
1991.12,6.7
1992.01,7
1992.02,8.4
1992.03,9.5
1992.04,10.1
1992.05,10.2
1992.06,10.1
1992.07,9.9
1992.08,9.6
1992.09,9.3
1992.10,9.1
1992.11,8.4
1992.12,8
1993.01,8
1993.02,8.8
1993.03,9.8
1993.04,10.2
1993.05,9.8
1993.06,9.3
1993.07,8.7
1993.08,8.3
1993.09,8
1993.10,7.9
1993.11,7.8
1993.12,7.6
1994.01,8
1994.02,8.7
1994.03,9.8
1994.04,10.1
1994.05,9.9
1994.06,9.4
1994.07,9
1994.08,8.9
1994.09,8.7
1994.10,8.7
1994.11,8.1
1994.12,7.8
1995.01,7.9
1995.02,8.9
1995.03,9.2
1995.04,9.4
1995.05,9.2
1995.06,9.1
1995.07,9.1
1995.08,8.8
1995.09,9
1995.10,9
1995.11,9.1
1995.12,8.7
1996.01,8.5
1996.02,9.1
1996.03,10.1
1996.04,11
1996.05,10.8
1996.06,10.7
1996.07,10.3
1996.08,10.3
1996.09,9.9
1996.10,9.7
1996.11,9.6
1996.12,9.2
1997.01,8.9
1997.02,9.1
1997.03,9.9
1997.04,10.7
1997.05,10.7
1997.06,10.5
1997.07,10.2
1997.08,10.2
1997.09,10.5
1997.10,10.5
1997.11,10.5
1997.12,10.2
1998.01,10.3
1998.02,11.1
1998.03,12
1998.04,12.5
1998.05,12.4
1998.06,12.3
1998.07,12.1
1998.08,12
1998.09,11.7
1998.10,11.6
1998.11,11.3
1998.12,10.8
1999.01,10.7
1999.02,11.6
1999.03,12.9
1999.04,13.4
1999.05,12.9
1999.06,12.5
1999.07,12.6
1999.08,12.4
1999.09,12.2
1999.10,11.6
1999.11,11.4
1999.12,10.5
2000.01,10.6
2000.02,10.5
2000.03,11.3
2000.04,11.8
2000.05,11.8
2000.06,11.7
2000.07,11.6
2000.08,11.2
2000.09,11
2000.10,10.4
2000.11,10.3
2000.12,10
2001.01,10.1
2001.02,10.7
2001.03,11.2
2001.04,11.5
2001.05,11
2001.06,10.7
2001.07,10.9
2001.08,11.3
2001.09,11.5
2001.10,11.9
2001.11,11.7
2001.12,11.6
2002.01,11.3
2002.02,12
2002.03,12.8
2002.04,13.3
2002.05,12.8
2002.06,12
2002.07,11.5
2002.08,11.8
2002.09,12.2
2002.10,12.3
2002.11,12
2002.12,11.4
2003.01,11.2
2003.02,11.9
2003.03,12.7
2003.04,13.6
2003.05,13.4
2003.06,13.2
2003.07,12.7
2003.08,12.9
2003.09,13.2
2003.10,13.2
2003.11,12.6
2003.12,12
2004.01,11.9
2004.02,12.6
2004.03,13.3
2004.04,13.2
2004.05,12.3
2004.06,11.8
2004.07,11.7
2004.08,11.7
2004.09,11.4
2004.10,10.8
2004.11,10.4
2004.12,10
2005.01,9.9
2005.02,10.4
2005.03,10.9
2005.04,11.1
2005.05,11
2005.06,11
2005.07,10.8
2005.08,10.6
2005.09,10.4
2005.10,10.6
2005.11,10.2
2005.12,9.7
2006.01,9.5
2006.02,10.2
2006.03,10.9
2006.04,11.2
2006.05,11.3
2006.06,11.3
2006.07,11.3
2006.08,10.7
2006.09,10.3
2006.10,9.6
2006.11,9.1
2006.12,9
2007.01,9
2007.02,9.7
2007.03,10.4
2007.04,10.9
2007.05,10.6
2007.06,10.3
2007.07,10.5
2007.08,10.4
2007.09,10.5
2007.10,10
2007.11,10
2007.12,9.3
2008.01,9.3
2008.02,9.1
2008.03,9.6
2008.04,9.8
2008.05,9.8
2008.06,9.7
2008.07,9.6
2008.08,9.4
2008.09,9.3
2008.10,8.5
2008.11,8.6
2008.12,8.3
2009.01,9.2
2009.02,9.8
2009.03,10.8
2009.04,10.9
2009.05,10.8
2009.06,10.3
2009.07,10.5
2009.08,10.1
2009.09,10.1
2009.10,9.9
2009.11,9.4
2009.12,8.5
2010.01,8
2010.02,8.5
2010.03,9.6
2010.04,9.8
2010.05,9.7
2010.06,9.5
2010.07,9.4
2010.08,9.3
2010.09,8.7
2010.10,8.4
2010.11,8.1
2010.12,7.4
2011.01,8
2011.02,8.1
2011.03,9
2011.04,8.8
2011.05,8.5
2011.06,8.7
2011.07,8.8
2011.08,9
2011.09,8.5
2011.10,7.9
2011.11,7.5
2011.12,6.9
2012.01,7.6
2012.02,8.4
2012.03,9.1
2012.04,9.1
2012.05,8.8
2012.06,9
2012.07,9.1
2012.08,9.4
2012.09,9.1
2012.10,8.5
2012.11,7.9
2012.12,7.6
2013.01,7.8
2013.02,8.2
2013.03,8.8
2013.04,9.1
2013.05,9
2013.06,9.1
2013.07,9
2013.08,8.6
2013.09,8.1
2013.10,7.7
2013.11,7.5
2013.12,7.5
2014.01,7.8
2014.02,8.7
2014.03,9.4
2014.04,9.6
2014.05,9.5
2014.06,9.4
2014.07,9.4
2014.08,9.2
2014.09,8.7
2014.10,8.1
2014.11,7.9
2014.12,8
2015.01,7.9
2015.02,8.7
2015.03,9.4
2015.04,10.2
2015.05,10.7
2015.06,11.1
2015.07,11.4
2015.08,11.5
2015.09,11.8
2015.10,11.9
2015.11,11.7
2015.12,11.5
2016.01,11.8
2016.02,12.3
2016.03,13.4
2016.04,14.2
2016.05,15
2016.06,14.7
2016.07,14.2
2016.08,13.9
2016.09,14.4
2016.10,14.3
2016.11,14
2016.12,13.5
2017.01,14.1
2017.02,14.8
2017.03,15.2
2017.04,15.5
2017.05,15.9
2017.06,15.6
2017.07,15.1
2017.08,14.5
