Periodo,Dolar
1984.12,1.08856363636364E-09
1985.01,1.21712363636364E-09
1985.02,1.36189818181818E-09
1985.03,1.50552363636364E-09
1985.04,1.70832727272727E-09
1985.05,1.89685818181818E-09
1985.06,2.08076727272727E-09
1985.07,2.25454545454545E-09
1985.08,2.43322181818182E-09
1985.09,2.69982545454545E-09
1985.10,2.96229090909091E-09
1985.11,3.23036363636364E-09
1985.12,3.58654545454545E-09
1986.01,4.092E-06
1986.02,4.71454545454545E-09
1986.03,5.00727272727273E-09
1986.04,5.00727272727273E-09
1986.05,5.00727272727273E-09
1986.06,5.00727272727273E-09
1986.07,5.00727272727273E-09
1986.08,5.00727272727273E-09
1986.09,5.00727272727273E-09
1986.10,5.05454545454545E-09
1986.11,5.10545454545455E-09
1986.12,5.26181818181818E-09
1987.01,5.68E-09
1987.02,6.56363636363636E-09
1987.03,7.6E-09
1987.04,8.57818181818182E-09
1987.05,1.11381818181818E-08
1987.06,1.42690909090909E-08
1987.07,1.62581818181818E-08
1987.08,1.70545454545455E-08
1987.09,1.80436363636364E-08
1987.10,1.93236363636364E-08
1987.11,2.14509090909091E-08
1987.12,2.44181818181818E-08
1988.01,2.80981818181818E-08
1988.02,3.28690909090909E-08
1988.03,3.87672727272727E-08
1988.04,4.54763636363636E-08
1988.05,5.45054545454545E-08
1988.06,6.45163636363636E-08
1988.07,7.80909090909091E-08
1988.08,9.67563636363636E-08
1988.09,1.1804E-07
1988.10,1.48963636363636E-07
1988.11,1.90378181818182E-07
1988.12,2.42796363636364E-07
1989.01,3.27272727272727E-07
1989.02,3.6E-07
1989.03,3.6E-07
1989.04,3.67272727272727E-07
1989.05,3.96363636363636E-07
1989.06,4.83636363636364E-07
1989.07,6.94545454545455E-07
1989.08,8.94545454545454E-07
1989.09,1.18181818181818E-06
1989.10,1.62545454545455E-06
1989.11,2.26181818181818E-06
1989.12,3.34909090909091E-06
1990.01,5.17818181818182E-06
1990.02,8.56E-06
1990.03,1.34581818181818E-05
1990.04,1.72E-05
1990.05,1.88872727272727E-05
1990.06,2.06909090909091E-05
1990.07,2.40945454545455E-05
1990.08,2.60145454545455E-05
1990.09,2.73345454545455E-05
1990.10,3.43927272727273E-05
1990.11,4.45345454545455E-05
1990.12,5.59890909090909E-05
1991.01,6.99709090909091E-05
1991.02,8.03709090909091E-05
1991.03,8.34909090909091E-05
1991.04,9.15418181818182E-05
1991.05,9.91309090909091E-05
1991.06,0.000108189090909091
1991.07,0.000119483636363636
1991.08,0.000134818181818182
1991.09,0.000155803636363636
1991.10,0.000211981818181818
1991.11,0.000268636363636364
1991.12,0.000348290909090909
1992.01,0.000435381818181818
1992.02,0.000537658181818182
1992.03,0.000659789090909091
1992.04,0.0007988
1992.05,0.000955843636363636
1992.06,0.00114533454545455
1992.07,0.00139240363636364
1992.08,0.00169890909090909
1992.09,0.00209860363636364
1992.10,0.00262355636363636
1992.11,0.00328970545454545
1992.12,0.00405479636363636
1993.01,0.00511236
1993.02,0.006497616
1993.03,0.00817057636363636
1993.04,0.0104467712727273
1993.05,0.0134690872727273
1993.06,0.0174928909090909
1993.07,0.0228262643636364
1993.08,0.0300865454545455
1993.09,0.0404312727272727
1993.10,0.0549887272727273
1993.11,0.0748341818181818
1993.12,0.101589454545455
1994.01,0.142121381818182
1994.02,0.200286254545455
1994.03,0.279312436363636
1994.04,0.403471490909091
1994.05,0.576529090909091
1994.06,0.832606763636364
1994.07,0.9248
1994.08,0.8966
1994.09,0.8632
1994.10,844
1994.11,0.8398
1994.12,0.8481
1995.01,0.8451
1995.02,0.8388
1995.03,0.8874
1995.04,0.9055
1995.05,0.8954
1995.06,912
1995.07,0.9268
1995.08,0.94
1995.09,0.9508
1995.10,0.9587
1995.11,0.9624
1995.12,0.9673
1996.01,0.9735
1996.02,0.9801
1996.03,0.9853
1996.04,0.9894
1996.05,0.9945
1996.06,1.0005
1996.07,1.0061
1996.08,1.0126
1996.09,1.0185
1996.10,1.0243
1996.11,1.0296
1996.12,1.0365
1997.01,1.0421
1997.02,1.0485
1997.03,1.0559
1997.04,1.0601
1997.05,1.0675
1997.06,1.0738
1997.07,1.0799
1997.08,1.0871
1997.09,1.0928
1997.10,1.0993
1997.11,1.1065
1997.12,1.1128
1998.01,1.1191
1998.02,1.1329
1998.03,1.1329
1998.04,1.1404
1998.05,1.1473
1998.06,1.1538
1998.07,1.1607
1998.08,1.1709
1998.09,1.1801
1998.10,1.1876
1998.11,1.1929
1998.12,1.2046
1999.01,1.5011
1999.02,1.9129
1999.03,1896
1999.04,1.6933
1999.05,1.6827
1999.06,1.7646
1999.07,1.7995
1999.08,1.88
1999.09,1.8973
1999.10,1.9687
1999.11,1.9291
1999.12,1842
2000.01,1.8029
2000.02,1.7745
2000.03,1.7412
2000.04,1.7674
2000.05,1.8271
2000.06,1.8075
2000.07,1797
2000.08,1.8084
2000.09,1.8384
2000.10,1.8788
2000.11,1.9472
2000.12,1.9625
2001.01,1.9537
2001.02,2.0011
2001.03,2.0882
2001.04,2.1917
2001.05,2.2964
2001.06,2375
2001.07,2.4652
2001.08,2.5098
2001.09,2.6709
2001.10,2.7394
2001.11,2.5423
2001.12,2.3619
2002.01,2.3771
2002.02,2.4188
2002.03,2.3458
2002.04,2.3196
2002.05,2.4796
2002.06,2.7132
2002.07,2.9338
2002.08,3.1093
2002.09,3.3412
2002.10,3.8051
2002.11,3.5756
2002.12,3.6251
2003.01,3.4376
2003.02,3.59
2003.03,3.4461
2003.04,3.1179
2003.05,2.9549
2003.06,2.8824
2003.07,2879
2003.08,3.0017
2003.09,2922
2003.10,2.8607
2003.11,2913
2003.12,2.9245
2004.01,2851
2004.02,2.9295
2004.03,2.9047
2004.04,2.9052
2004.05,3.0996
2004.06,3.1283
2004.07,3036
2004.08,3.0021
2004.09,2.8903
2004.10,2.8521
2004.11,2.7852
2004.12,2.7174
2005.01,2.6922
2005.02,2597
2005.03,2.7039
2005.04,2.5784
2005.05,2452
2005.06,2.4127
2005.07,2.3727
2005.08,2.3598
2005.09,2.2936
2005.10,2.2557
2005.11,2.21
2005.12,2.2847
2006.01,2.2731
2006.02,2.1611
2006.03,2.1512
2006.04,2.1285
2006.05,2.1773
2006.06,2.2475
2006.07,2.1885
2006.08,2.1551
2006.09,2.1679
2006.10,2.1475
2006.11,2.1571
2006.12,2.1491
2007.01,2.1377
2007.02,2.0955
2007.03,2.0879
2007.04,2.0312
2007.05,1.9808
2007.06,1.9311
2007.07,1882
2007.08,1.9652
2007.09,1.8988
2007.10,1.8002
2007.11,1.7691
2007.12,1.7852
2008.01,1.7735
2008.02,1.7269
2008.03,1.7068
2008.04,1.6881
2008.05,1.6597
2008.06,1.6181
2008.07,1.5906
2008.08,1.6115
2008.09,1.7988
2008.10,2.1721
2008.11,2.2655
2008.12,2.3936
2009.01,2.3066
2009.02,2.3119
2009.03,2313
2009.04,2.2051
2009.05,2.0601
2009.06,1.9568
2009.07,1932
2009.08,1.8444
2009.09,1819
2009.10,1.7376
2009.11,1.7252
2009.12,1.7495
2010.01,1779
2010.02,1.8394
2010.03,1785
2010.04,1.7558
2010.05,1.8124
2010.06,1.8054
2010.07,1.7688
2010.08,1.7588
2010.09,1.7179
2010.10,1.6852
2010.11,1.71253
2010.12,1.692654545
2011.01,1.674114286
2011.02,1.6672
2011.03,1.6583
2011.04,1.5856
2011.05,1.6127
2011.06,1.5862
2011.07,1.5631
2011.08,1.5962
2011.09,1749
2011.10,1.7719
2011.11,1.789725
2011.12,1.8362
2012.01,1.789013636
2012.02,1.717757895
2012.03,1.7947
2012.04,1.8542
2012.05,1.985386364
2012.06,2.04857
2012.07,2.02815
2012.08,2.028865217
2012.09,2.0275
2012.10,2.029281818
2012.11,2.067195
2012.12,2.07724
2013.01,2.030477273
2013.02,1.972677778
2013.03,1.98227
2013.04,2.001631818
2013.05,2.034266667
2013.06,2.172375
2013.07,2.25156087
2013.08,2.341595455
2013.09,2.2699
2013.10,2.188056522
2013.11,2.29471
2013.12,2.344861905
2014.01,2.381604545
2014.02,2.38309
2014.03,2.325494737
2014.04,2.231725
2014.05,2.220280952
2014.06,2.23486
2014.07,2.224021739
2014.08,2.26742381
2014.09,2.332254545
2014.10,2.447643478
2014.11,2.54823
2014.12,2.638736364
2015.01,2.633619048
2015.02,2.815838889
2015.03,3.138863636
2015.04,3.042595
2015.05,3.061075
2015.06,3.11112381
2015.07,3.222508696
2015.08,3.513695238
2015.09,3.905809524
2015.10,3.879504762
2015.11,3.7758
2015.12,3.870495455
2016.01,4.051715
2016.02,3.973115789
2016.03,3.703309091
2016.04,3.56524
2016.05,3.538685714
2016.06,3.423877273
2016.07,3.274710526
2016.08,3.209056522
2016.09,3.255771429
2016.10,3.1852
2016.11,3.3414
2016.12,3.35166818181818
2017.01,3.19598636363636
2017.02,3.10358888888889
2017.03,3.12733043478261
2017.04,3.13557222222222
2017.05,3.20870454545455
2017.06,3.2948
2017.07,3.2055
2017.08,3.1503
