date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-15,AC,Acrelândia,city,11,0,True,15256,1200013,72.10278,
2020-04-15,AC,Bujari,city,1,0,True,10266,1200138,9.74089,
2020-04-15,AC,Cruzeiro do Sul,city,2,0,True,88376,1200203,2.26306,
2020-04-15,AC,Plácido de Castro,city,10,1,True,19761,1200385,50.60473,0.1
2020-04-15,AC,Porto Acre,city,1,0,True,18504,1200807,5.40424,
2020-04-15,AC,Rio Branco,city,76,3,True,407319,1200401,18.65859,0.0395
2020-04-15,AC,,state,101,4,True,881935,12,11.45209,0.0396
2020-04-15,AL,Boca da Mata,city,1,0,True,27281,2701001,3.66555,
2020-04-15,AL,Importados/Indefinidos,city,7,1,True,,,,0.1429
2020-04-15,AL,Maceió,city,67,3,True,1018948,2704302,6.57541,0.0448
2020-04-15,AL,Marechal Deodoro,city,3,1,True,51901,2704708,5.78024,0.3333
2020-04-15,AL,Palmeira dos Índios,city,1,0,True,73218,2706307,1.36578,
2020-04-15,AL,Porto Real do Colégio,city,1,0,True,20066,2707503,4.98355,
2020-04-15,AL,Rio Largo,city,2,0,True,75120,2707701,2.66241,
2020-04-15,AL,Satuba,city,1,0,True,13828,2708907,7.2317,
2020-04-15,AL,,state,83,5,True,3337357,27,2.487,0.0602
2020-04-15,AM,Anamã,city,1,0,True,13614,1300086,7.34538,
2020-04-15,AM,Anori,city,3,0,True,21010,1300102,14.27891,
2020-04-15,AM,Boca do Acre,city,1,0,True,34308,1300706,2.91477,
2020-04-15,AM,Careiro,city,2,1,True,37869,1301100,5.28136,0.5
2020-04-15,AM,Careiro da Várzea,city,2,0,True,30225,1301159,6.61704,
2020-04-15,AM,Iranduba,city,14,1,True,48296,1301852,28.98791,0.0714
2020-04-15,AM,Itacoatiara,city,15,0,True,101337,1301902,14.8021,
2020-04-15,AM,Jutaí,city,0,0,True,14317,1302306,,
2020-04-15,AM,Lábrea,city,2,0,True,46069,1302405,4.34131,
2020-04-15,AM,Manacapuru,city,111,6,True,97377,1302504,113.98996,0.0541
2020-04-15,AM,Manaus,city,1350,92,True,2182763,1302603,61.84822,0.0681
2020-04-15,AM,Manicoré,city,1,1,True,55751,1302702,1.79369,1.0
2020-04-15,AM,Maués,city,0,0,True,63905,1302900,,
2020-04-15,AM,Novo Airão,city,2,1,True,19454,1303205,10.28066,0.5
2020-04-15,AM,Parintins,city,11,3,True,114273,1303403,9.62607,0.2727
2020-04-15,AM,Presidente Figueiredo,city,6,0,True,36279,1303536,16.53849,
2020-04-15,AM,Santo Antônio do Içá,city,10,0,True,21602,1303700,46.29201,
2020-04-15,AM,São Gabriel da Cachoeira,city,0,0,True,45564,1303809,,
2020-04-15,AM,São Paulo de Olivença,city,9,0,True,39299,1303908,22.90135,
2020-04-15,AM,Tabatinga,city,3,0,True,65844,1304062,4.55622,
2020-04-15,AM,Tefé,city,2,1,True,59849,1304203,3.34174,0.5
2020-04-15,AM,Tonantins,city,9,0,True,18755,1304237,47.9872,
2020-04-15,AM,,state,1554,106,True,4144597,13,37.4946,0.0682
2020-04-15,AP,Laranjal do Jari,city,1,0,True,50410,1600279,1.98373,
2020-04-15,AP,Macapá,city,290,5,True,503327,1600303,57.61662,0.0172
2020-04-15,AP,Mazagão,city,1,0,True,21632,1600402,4.62278,
2020-04-15,AP,Oiapoque,city,2,0,True,27270,1600501,7.33407,
2020-04-15,AP,Porto Grande,city,1,0,True,21971,1600535,4.55145,
2020-04-15,AP,Santana,city,43,2,True,121364,1600600,35.43061,0.0465
2020-04-15,AP,Vitória do Jari,city,2,0,True,15931,1600808,12.55414,
2020-04-15,AP,,state,342,7,True,845731,16,40.43839,0.0205
2020-04-15,BA,,state,807,27,True,14873064,29,5.42592,0.0335
2020-04-15,CE,Acopiara,city,1,0,True,54270,2300309,1.84264,
2020-04-15,CE,Amontada,city,1,0,True,43452,2300754,2.30139,
2020-04-15,CE,Aquiraz,city,30,0,True,80271,2301000,37.3734,
2020-04-15,CE,Aracati,city,3,1,True,74547,2301109,4.02431,0.3333
2020-04-15,CE,Aracoiaba,city,1,0,True,26469,2301208,3.778,
2020-04-15,CE,Barreira,city,1,0,True,22425,2301950,4.45931,
2020-04-15,CE,Barroquinha,city,1,0,True,15017,2302057,6.65912,
2020-04-15,CE,Baturité,city,1,0,True,35750,2302107,2.7972,
2020-04-15,CE,Beberibe,city,4,0,True,53573,2302206,7.46645,
2020-04-15,CE,Camocim,city,1,0,True,63661,2302602,1.57082,
2020-04-15,CE,Canindé,city,5,0,True,76997,2302800,6.49376,
2020-04-15,CE,Capistrano,city,1,1,True,17738,2302909,5.63761,1.0
2020-04-15,CE,Caridade,city,2,0,True,22547,2303006,8.87036,
2020-04-15,CE,Cariús,city,2,1,True,18699,2303303,10.69576,0.5
2020-04-15,CE,Cascavel,city,1,0,True,71743,2303501,1.39386,
2020-04-15,CE,Catarina,city,1,0,True,20698,2303600,4.83138,
2020-04-15,CE,Caucaia,city,42,3,True,361400,2303709,11.62147,0.0714
2020-04-15,CE,Crateús,city,2,0,True,75074,2304103,2.66404,
2020-04-15,CE,Crato,city,4,0,True,132123,2304202,3.02748,
2020-04-15,CE,Croatá,city,1,0,True,18063,2304236,5.53618,
2020-04-15,CE,Eusébio,city,10,4,True,53618,2304285,18.65045,0.4
2020-04-15,CE,Farias Brito,city,1,1,True,19450,2304301,5.14139,1.0
2020-04-15,CE,Fortaleza,city,1946,93,True,2669342,2304400,72.90186,0.0478
2020-04-15,CE,Fortim,city,1,0,True,16480,2304459,6.06796,
2020-04-15,CE,Graça,city,1,0,True,14399,2304657,6.94493,
2020-04-15,CE,Granja,city,1,0,True,54748,2304707,1.82655,
2020-04-15,CE,Guaraciaba do Norte,city,1,0,True,40642,2305001,2.46051,
2020-04-15,CE,Horizonte,city,10,1,True,67337,2305233,14.85068,0.1
2020-04-15,CE,Icapuí,city,3,0,True,19934,2305357,15.04966,
2020-04-15,CE,Icó,city,3,0,True,68018,2305407,4.4106,
2020-04-15,CE,Iguatu,city,8,4,True,102498,2305506,7.80503,0.5
2020-04-15,CE,Importados/Indefinidos,city,38,0,True,,,,
2020-04-15,CE,Independência,city,2,0,True,26178,2305605,7.64,
2020-04-15,CE,Ipaporanga,city,1,0,True,11593,2305654,8.62589,
2020-04-15,CE,Ipueiras,city,2,0,True,38166,2305902,5.24027,
2020-04-15,CE,Itaiçaba,city,1,0,True,7827,2306207,12.77629,
2020-04-15,CE,Itaitinga,city,8,1,True,37980,2306256,21.06372,0.125
2020-04-15,CE,Itapajé,city,1,0,True,52675,2306306,1.89843,
2020-04-15,CE,Itapipoca,city,2,0,True,129358,2306405,1.5461,
2020-04-15,CE,Itarema,city,1,0,True,41826,2306553,2.39086,
2020-04-15,CE,Jaguaribe,city,5,2,True,34682,2306900,14.4167,0.4
2020-04-15,CE,Juazeiro do Norte,city,3,0,True,274207,2307304,1.09406,
2020-04-15,CE,Jucás,city,4,0,True,24833,2307403,16.1076,
2020-04-15,CE,Lavras da Mangabeira,city,1,0,True,31508,2307502,3.1738,
2020-04-15,CE,Limoeiro do Norte,city,6,2,True,59540,2307601,10.07726,0.3333
2020-04-15,CE,Maracanaú,city,39,4,True,227886,2307650,17.11382,0.1026
2020-04-15,CE,Maranguape,city,7,2,True,128978,2307700,5.42728,0.2857
2020-04-15,CE,Massapê,city,1,0,True,38737,2308005,2.58151,
2020-04-15,CE,Mauriti,city,1,0,True,47962,2308104,2.08498,
2020-04-15,CE,Mombaça,city,4,0,True,43797,2308500,9.13305,
2020-04-15,CE,Mulungu,city,1,0,True,10823,2309102,9.23958,
2020-04-15,CE,Novo Oriente,city,2,0,True,28607,2309409,6.9913,
2020-04-15,CE,Pacajus,city,1,0,True,72203,2309607,1.38498,
2020-04-15,CE,Pacatuba,city,6,0,True,83432,2309706,7.19149,
2020-04-15,CE,Paracuru,city,1,0,True,35076,2310209,2.85095,
2020-04-15,CE,Pindoretama,city,1,0,True,20567,2310852,4.86216,
2020-04-15,CE,Quiterianópolis,city,1,0,True,21084,2311264,4.74293,
2020-04-15,CE,Quixadá,city,10,0,True,87728,2311306,11.39887,
2020-04-15,CE,Quixeramobim,city,3,1,True,81082,2311405,3.69996,0.3333
2020-04-15,CE,Quixeré,city,2,0,True,22149,2311504,9.02975,
2020-04-15,CE,Redenção,city,2,0,True,29053,2311603,6.88397,
2020-04-15,CE,Russas,city,3,0,True,78194,2311801,3.83661,
2020-04-15,CE,Salitre,city,1,1,True,16554,2311959,6.04084,1.0
2020-04-15,CE,Santana do Acaraú,city,1,0,True,32452,2312007,3.08147,
2020-04-15,CE,Santa Quitéria,city,3,1,True,43703,2312205,6.86452,0.3333
2020-04-15,CE,São Luís do Curu,city,1,0,True,13000,2312601,7.69231,
2020-04-15,CE,Senador Pompeu,city,3,0,True,25496,2312700,11.76655,
2020-04-15,CE,Senador Sá,city,1,0,True,7623,2312809,13.11819,
2020-04-15,CE,Sobral,city,20,0,True,208935,2312908,9.57236,
2020-04-15,CE,Tabuleiro do Norte,city,2,0,True,30697,2313104,6.51529,
2020-04-15,CE,Tauá,city,4,0,True,58859,2313302,6.7959,
2020-04-15,CE,Tianguá,city,3,1,True,75946,2313401,3.95018,0.3333
2020-04-15,CE,Trairi,city,1,0,True,55918,2313500,1.78833,
2020-04-15,CE,Várzea Alegre,city,1,0,True,40721,2314003,2.45574,
2020-04-15,CE,,state,2291,124,True,9132078,23,25.08739,0.0541
2020-04-15,GO,Águas Lindas de Goiás,city,2,0,True,212440,5200258,0.94144,
2020-04-15,GO,Aloândia,city,1,0,True,1995,5200506,50.12531,
2020-04-15,GO,Anápolis,city,20,0,True,386923,5201108,5.16899,
2020-04-15,GO,Anhanguera,city,1,0,True,1149,5201207,87.0322,
2020-04-15,GO,Aparecida de Goiânia,city,6,1,True,578179,5201405,1.03774,0.1667
2020-04-15,GO,Aragoiânia,city,1,0,True,10308,5201801,9.7012,
2020-04-15,GO,Bela Vista de Goiás,city,1,0,True,29975,5203302,3.33611,
2020-04-15,GO,Bom Jesus de Goiás,city,1,0,True,25216,5203500,3.96574,
2020-04-15,GO,Caldas Novas,city,1,0,True,91162,5204508,1.09695,
2020-04-15,GO,Campestre de Goiás,city,1,0,True,3630,5204607,27.54821,
2020-04-15,GO,Catalão,city,1,0,True,108823,5205109,0.91892,
2020-04-15,GO,Cidade Ocidental,city,2,0,True,71376,5205497,2.80206,
2020-04-15,GO,Faina,city,1,0,True,6627,5207535,15.08978,
2020-04-15,GO,Formosa,city,3,0,True,121617,5208004,2.46676,
2020-04-15,GO,Goiandira,city,1,1,True,5600,5208509,17.85714,1.0
2020-04-15,GO,Goianésia,city,16,0,True,70084,5208608,22.82975,
2020-04-15,GO,Goiânia,city,176,7,True,1516113,5208707,11.60863,0.0398
2020-04-15,GO,Goianira,city,1,0,True,44289,5208806,2.2579,
2020-04-15,GO,Goiatuba,city,1,0,True,34095,5209101,2.93298,
2020-04-15,GO,Guapó,city,1,0,True,14209,5209200,7.03779,
2020-04-15,GO,Hidrolândia,city,0,0,True,21706,5209705,,
2020-04-15,GO,Importados/Indefinidos,city,0,0,True,,,,
2020-04-15,GO,Itaguaru,city,1,0,True,5237,5210604,19.0949,
2020-04-15,GO,Itumbiara,city,7,0,True,104742,5211503,6.68309,
2020-04-15,GO,Jataí,city,4,0,True,100882,5211909,3.96503,
2020-04-15,GO,Luziânia,city,8,2,True,208299,5212501,3.84063,0.25
2020-04-15,GO,Montividiu,city,1,0,True,13396,5213756,7.46491,
2020-04-15,GO,Morrinhos,city,1,0,True,46136,5213806,2.1675,
2020-04-15,GO,Nerópolis,city,1,0,True,29850,5214507,3.35008,
2020-04-15,GO,Nova Glória,city,1,0,True,8164,5214861,12.2489,
2020-04-15,GO,Nova Veneza,city,1,0,True,9853,5215009,10.14919,
2020-04-15,GO,Paranaiguara,city,1,0,True,10057,5216304,9.94332,
2020-04-15,GO,Paraúna,city,1,1,True,10988,5216403,9.10084,1.0
2020-04-15,GO,Pirenópolis,city,0,0,True,24908,5217302,,
2020-04-15,GO,Pires do Rio,city,3,1,True,31458,5217401,9.53652,0.3333
2020-04-15,GO,Professor Jamil,city,3,0,True,3223,5218391,93.08098,
2020-04-15,GO,Rialma,city,3,0,True,10918,5218607,27.47756,
2020-04-15,GO,Rio Verde,city,13,1,True,235647,5218805,5.51673,0.0769
2020-04-15,GO,Santo Antônio do Descoberto,city,1,0,True,74744,5219753,1.3379,
2020-04-15,GO,São Luís de Montes Belos,city,2,0,True,33817,5220108,5.91419,
2020-04-15,GO,Senador Canedo,city,1,0,True,115371,5220454,0.86677,
2020-04-15,GO,Silvânia,city,1,0,True,20695,5220603,4.83209,
2020-04-15,GO,Trindade,city,5,0,True,127599,5221403,3.91853,
2020-04-15,GO,Uruaçu,city,0,0,True,40532,5221601,,
2020-04-15,GO,Valparaíso de Goiás,city,6,1,True,168468,5221858,3.56151,0.1667
2020-04-15,GO,Vianópolis,city,1,0,True,13863,5222005,7.21345,
2020-04-15,GO,,state,304,15,True,7018354,52,4.3315,0.0493
2020-04-15,MA,Açailândia,city,1,0,True,112445,2100055,0.88932,
2020-04-15,MA,Altamira do Maranhão,city,1,0,True,8128,2100402,12.30315,
2020-04-15,MA,Cachoeira Grande,city,1,0,True,9431,2102374,10.60333,
2020-04-15,MA,Cajapió,city,1,0,True,11177,2102408,8.94694,
2020-04-15,MA,Cantanhede,city,1,0,True,21995,2102705,4.54649,
2020-04-15,MA,Caxias,city,2,0,True,164880,2103000,1.213,
2020-04-15,MA,Chapadinha,city,1,0,True,79675,2103208,1.2551,
2020-04-15,MA,Colinas,city,1,0,True,41178,2103505,2.42848,
2020-04-15,MA,Davinópolis,city,1,0,True,12908,2103752,7.74713,
2020-04-15,MA,Governador Nunes Freire,city,1,0,True,25577,2104677,3.90976,
2020-04-15,MA,Icatu,city,0,0,True,27113,2105104,,
2020-04-15,MA,Imperatriz,city,17,1,True,258682,2105302,6.57178,0.0588
2020-04-15,MA,Mirinzal,city,1,0,True,14962,2106805,6.6836,
2020-04-15,MA,Paço do Lumiar,city,22,2,True,122197,2107506,18.00372,0.0909
2020-04-15,MA,Raposa,city,3,0,True,30761,2109452,9.75261,
2020-04-15,MA,Santa Inês,city,1,0,True,89044,2109908,1.12304,
2020-04-15,MA,Santa Rita,city,3,0,True,37855,2110203,7.92498,
2020-04-15,MA,São Benedito do Rio Preto,city,1,0,True,18663,2110401,5.3582,
2020-04-15,MA,São José de Ribamar,city,47,0,True,177687,2111201,26.45101,
2020-04-15,MA,São Luís,city,582,34,True,1101884,2111300,52.81863,0.0584
2020-04-15,MA,Timon,city,2,0,True,169107,2112209,1.18268,
2020-04-15,MA,Urbano Santos,city,2,0,True,33122,2112605,6.03828,
2020-04-15,MA,Viana,city,1,0,True,52441,2112803,1.9069,
2020-04-15,MA,Vitória do Mearim,city,1,0,True,32764,2112902,3.05213,
2020-04-15,MA,Zé Doca,city,1,0,True,51714,2114007,1.93371,
2020-04-15,MA,,state,695,37,True,7075181,21,9.82307,0.0532
2020-04-15,MG,Abaeté,city,1,0,True,23237,3100203,4.30348,
2020-04-15,MG,Alfenas,city,1,0,True,79996,3101607,1.25006,
2020-04-15,MG,Almenara,city,1,0,True,41896,3101706,2.38686,
2020-04-15,MG,Alpercata,city,1,0,True,7424,3101805,13.46983,
2020-04-15,MG,Araguari,city,7,0,True,117267,3103504,5.96928,
2020-04-15,MG,Araxá,city,2,0,True,106229,3104007,1.88273,
2020-04-15,MG,Arcos,city,5,0,True,40092,3104205,12.47132,
2020-04-15,MG,Barbacena,city,2,0,True,137313,3105608,1.45653,
2020-04-15,MG,Belmiro Braga,city,1,0,True,3429,3106101,29.16302,
2020-04-15,MG,Belo Horizonte,city,380,6,True,2512070,3106200,15.12697,0.0158
2020-04-15,MG,Betim,city,9,0,True,439340,3106705,2.04853,
2020-04-15,MG,Boa Esperança,city,3,0,True,40127,3107109,7.47626,
2020-04-15,MG,Bom Despacho,city,1,0,True,50605,3107406,1.97609,
2020-04-15,MG,Bonfim,city,1,0,True,6868,3108107,14.56028,
2020-04-15,MG,Borda da Mata,city,2,0,True,19412,3108305,10.30291,
2020-04-15,MG,Botelhos,city,1,0,True,14971,3108404,6.67958,
2020-04-15,MG,Cambuí,city,5,0,True,29551,3110608,16.9199,
2020-04-15,MG,Cambuquira,city,1,0,True,12814,3110707,7.80396,
2020-04-15,MG,Campo Belo,city,2,0,True,54029,3111200,3.70172,
2020-04-15,MG,Campos Altos,city,1,0,True,15461,3111507,6.46789,
