Periodo,Rendimento
2002.03,807.1
2002.04,814.3
2002.05,836.9
2002.06,831.8
2002.07,861.1
2002.08,851.9
2002.09,839.2
2002.10,853.1
2002.11,866.8
2002.12,875.1
2003.01,859.2
2003.02,865.6
2003.03,863.4
2003.04,871.2
2003.05,862.6
2003.06,865.9
2003.07,856.8
2003.08,869
2003.09,856.4
2003.10,856.1
2003.11,857.7
2003.12,862.9
2004.01,876.1
2004.02,882.2
2004.03,897.2
2004.04,892.5
2004.05,884.9
2004.06,900.1
2004.07,916.1
2004.08,905.9
2004.09,925.2
2004.10,913.1
2004.11,924.1
2004.12,909.8
2005.01,938.9
2005.02,950.6
2005.03,955.7
2005.04,951.8
2005.05,946.5
2005.06,960.8
2005.07,983
2005.08,989.4
2005.09,988
2005.10,982.5
2005.11,994.8
2005.12,1013.3
2006.01,999.7
2006.02,1018.3
2006.03,1021
2006.04,1024.9
2006.05,1041.4
2006.06,1048.3
2006.07,1039
2006.08,1048.6
2006.09,1040.5
2006.10,1063
2006.11,1068.6
2006.12,1088.8
2007.01,1082.3
2007.02,1107.4
2007.03,1110.5
2007.04,1114.8
2007.05,1121.3
2007.06,1120
2007.07,1108.9
2007.08,1110
2007.09,1115.7
2007.10,1124.3
2007.11,1144.3
2007.12,1165
2008.01,1173.6
2008.02,1191.1
2008.03,1189.7
2008.04,1209
2008.05,1209.1
2008.06,1217.5
2008.07,1225.3
2008.08,1254.7
2008.09,1268.3
2008.10,1259.1
2008.11,1274.7
2008.12,1285.9
2009.01,1323.6
2009.02,1325.9
2009.03,1326
2009.04,1322.8
2009.05,1315.8
2009.06,1316.3
2009.07,1327
2009.08,1340.8
2009.09,1350.8
2009.10,1353.9
2009.11,1358.3
2009.12,1349.3
2010.01,1378.1
2010.02,1403.8
2010.03,1418.3
2010.04,1429
2010.05,1421.7
2010.06,1427.1
2010.07,1456.7
2010.08,1476.2
2010.09,1503
2010.10,1519.3
2010.11,1521
2010.12,1519.7
2011.01,1542.7
2011.02,1545.4
2011.03,1562.2
2011.04,1544.8
2011.05,1571.4
2011.06,1583
2011.07,1617.1
2011.08,1633.7
2011.09,1611.9
2011.10,1616.7
2011.11,1627.4
2011.12,1654.2
2012.01,1675.7
2012.02,1704.4
2012.03,1733.4
2012.04,1724.2
2012.05,1730.9
2012.06,1742.1
2012.07,1722.8
2012.08,1763.8
2012.09,1776.4
2012.10,1793.3
2012.11,1815
2012.12,1809.8
2013.01,1825.4
2013.02,1855.3
2013.03,1861.9
2013.04,1868.9
2013.05,1869.9
2013.06,1875.7
2013.07,1854.2
2013.08,1888.9
2013.09,1914.1
2013.10,1924.5
2013.11,1972.9
2013.12,1974.4
2014.01,1991
2014.02,2022
2014.03,2033.2
2014.04,2034.7
2014.05,2052.2
2014.06,2027.1
2014.07,2026.4
2014.08,2062.6
2014.09,2074.3
2014.10,2128.8
2014.11,2157
2014.12,2129.3
2015.01,2176.3
2015.02,2170.1
2015.03,2142.1
2015.04,2146.7
2015.05,2124.8
2015.06,2156.9
2015.07,2178.3
2015.08,2192.8
2015.09,2187.3
2015.10,2190.4
2015.11,2185.9
2015.12,2235.5
2016.01,2242.9
2016.02,2227.5
